Agency,variable,value,binary
Department of Health And Human Services,HTTPS Bad Hostname,117,Yes
Department of Health And Human Services,Live,1,Yes
Department of Health And Human Services,Redirect,81,Yes
Department of Health And Human Services,Strictly Forces HTTPS,102,Yes
Department of Health And Human Services,Valid HTTPS,86,Yes
Department of Homeland Security,Broken Root,24,Yes
Department of Homeland Security,Broken WWW,28,Yes
Department of Homeland Security,Defaults to HTTPS,21,Yes
Department of Homeland Security,Downgrades HTTPS,20,Yes
Department of Homeland Security,HSTS,29,Yes
Department of Homeland Security,HSTS All Subdomains,29,Yes
Department of Homeland Security,HSTS Preload Ready,29,Yes
Department of Homeland Security,HTTPS Bad Chain,18,Yes
Department of Homeland Security,HTTPS Bad Hostname,29,Yes
Department of Homeland Security,Live,1,Yes
Department of Homeland Security,Redirect,22,Yes
Department of Homeland Security,Strictly Forces HTTPS,23,Yes
Department of Homeland Security,Valid HTTPS,15,Yes
Department of Housing And Urban Development,Broken Root,0,Yes
Department of Housing And Urban Development,Broken WWW,0,Yes
Department of Housing And Urban Development,Defaults to HTTPS,10,Yes
Department of Housing And Urban Development,Downgrades HTTPS,10,Yes
Department of Housing And Urban Development,HSTS,10,Yes
Department of Housing And Urban Development,HSTS All Subdomains,10,Yes
Department of Housing And Urban Development,HSTS Preload Ready,10,Yes
Department of Housing And Urban Development,HTTPS Bad Chain,10,Yes
Department of Housing And Urban Development,HTTPS Bad Hostname,10,Yes
Department of Housing And Urban Development,Live,10,Yes
Department of Housing And Urban Development,Redirect,10,Yes
Department of Housing And Urban Development,Strictly Forces HTTPS,10,Yes
Department of Housing And Urban Development,Valid HTTPS,10,Yes
Department of Justice,Broken Root,34,Yes
Department of Justice,Broken WWW,37,Yes
Department of Justice,Defaults to HTTPS,60,Yes
Department of Justice,Downgrades HTTPS,64,Yes
Department of Justice,HSTS,67,Yes
Department of Justice,HSTS All Subdomains,67,Yes
Department of Justice,HSTS Preload Ready,67,Yes
Department of Justice,HTTPS Bad Chain,62,Yes
Department of Justice,HTTPS Bad Hostname,67,Yes
Department of Justice,Live,30,Yes
Department of Justice,Redirect,57,Yes
Department of Justice,Strictly Forces HTTPS,61,Yes
Department of Justice,Valid HTTPS,57,Yes
Department of Labor,Broken Root,13,Yes
Department of Labor,Broken WWW,14,Yes
