Domain,Canonical,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HSTS,HSTS Header,HSTS All Subdomains,HSTS Preload Ready,Broken Root,Broken WWW
burkittsville-md.gov,http://burkittsville-md.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
burlington-wi.gov,http://burlington-wi.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
burlingtonkansas.gov,http://burlingtonkansas.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
burlingtonnc.gov,http://burlingtonnc.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
burlingtonvt.gov,http://burlingtonvt.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
burnsharbor-in.gov,http://burnsharbor-in.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
burnsvillemn.gov,http://www.burnsvillemn.gov,True,True,http://www.burnsville.org/,False,False,False,False,True,False,False,,False,False,False,False
burr-ridge.gov,http://www.burr-ridge.gov,True,False,,False,False,False,False,False,False,False,,False,False,True,False
burrillville-ri.gov,http://burrillville-ri.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
burtonmi.gov,http://burtonmi.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
butlerwi.gov,http://butlerwi.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
byesvilleoh.gov,http://byesvilleoh.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
cabotar.gov,http://cabotar.gov,True,False,,True,False,False,False,False,False,False,,False,False,False,False
cabq.gov,http://cabq.gov,True,False,,True,False,False,False,False,False,False,,False,False,False,False
caldwelltx.gov,http://caldwelltx.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
caledoniamn.gov,http://www.caledoniamn.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
calumettwp-in.gov,http://www.calumettwp-in.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
cambridgema.gov,http://www.cambridgema.gov,True,False,,True,False,False,False,False,False,False,,False,False,False,False
cambridgeny.gov,http://cambridgeny.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
camdenmaine.gov,http://www.camdenmaine.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
camdentn.gov,http://camdentn.gov,False,False,,False,False,False,False,False,False,False,,False,False,True,True
campbellohio.gov,http://campbellohio.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
canalwinchesterohio.gov,http://canalwinchesterohio.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
cannonfallsmn.gov,http://cannonfallsmn.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
cantonohio.gov,http://cantonohio.gov,True,False,,True,False,True,False,False,False,False,,False,False,False,False
cantontwp-oh.gov,http://cantontwp-oh.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
cantontx.gov,http://cantontx.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
carbondale-pa.gov,http://www.carbondale-pa.gov,True,True,,True,False,False,False,False,False,False,,False,False,False,False
carlisle-ia.gov,http://carlisle-ia.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
carlislema.gov,http://www.carlislema.gov,True,False,,False,False,False,False,False,False,False,,False,False,True,False
carlsbadca.gov,http://www.carlsbadca.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
carnationwa.gov,http://www.carnationwa.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
carnegieok.gov,http://carnegieok.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
carneyspointnj.gov,http://carneyspointnj.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
carrboronc.gov,http://carrboronc.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
carrollton-ga.gov,http://www.carrollton-ga.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
carterlake-ia.gov,http://www.carterlake-ia.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
cartersvillega.gov,http://cartersvillega.gov,False,False,,False,False,False,False,False,False,False,,False,False,True,True
carthagemo.gov,http://carthagemo.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
carync.gov,http://carync.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
casagrandeaz.gov,http://casagrandeaz.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
casperwy.gov,http://casperwy.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
castrovilletx.gov,http://castrovilletx.gov,True,False,,True,False,False,False,False,False,False,,False,False,False,False
cathedralcity.gov,http://cathedralcity.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
cavespringsar.gov,http://cavespringsar.gov,True,False,,True,False,False,False,False,False,False,,False,False,False,False
ceciltonmd.gov,http://www.ceciltonmd.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
ceciltownship-pa.gov,http://ceciltownship-pa.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
cedarhurst.gov,http://www.cedarhurst.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
cedarparktexas.gov,http://cedarparktexas.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
cedarrapids-ia.gov,http://cedarrapids-ia.gov,True,False,,False,False,False,False,False,False,False,,False,False,False,False
cedartowngeorgia.gov,http://cedartowngeorgia.gov,True,False,,False,False,False,False,True,False,False,,False,False,False,False
